team_id,2008,2009,2010,2011,2012,2013,2014,2015,2016
6403,[],"[42368, 41987, 24590, 11795, 22427, 22428, 150064, 150065, 98357, 98361, 19515, 98363, 149949, 79547, 3263, 149952, 11863, 70513, 181362, 51825, 164091]","[42368, 41987, 24590, 163988, 22427, 150064, 150065, 164147, 19515, 98363, 45245, 79547, 149952, 193992, 29036, 42352, 70513, 181362, 164083, 164091, 186748]","[42368, 163840, 156556, 163988, 172446, 150313, 186669, 150064, 150065, 164147, 186676, 115512, 19515, 115519, 149952, 193992, 242783, 24807, 163824, 70513, 181362, 42352, 164083, 185591, 164091, 186748]","[42368, 163840, 24590, 163988, 22421, 43303, 116907, 186669, 186676, 69686, 19515, 45244, 79547, 279742, 279740, 149952, 164430, 242783, 163824, 70513, 42352, 164083, 22128, 185591]","[42368, 163840, 470539, 24590, 210065, 304017, 163988, 22421, 477475, 361764, 43303, 116907, 28461, 110382, 186669, 45244, 301634, 164430, 101070, 42352, 70513, 22128, 164083, 163835]","[42368, 165889, 470539, 24590, 135310, 361723, 210065, 477473, 477475, 361764, 43303, 116907, 110382, 164272, 242874, 91473, 242901, 470362, 500575, 361311, 164334, 42352, 70513, 22128, 114680, 163835]","[150275, 496646, 470539, 24590, 361723, 575118, 163605, 361751, 191774, 480799, 43303, 116907, 554294, 242874, 470337, 301634, 98374, 185798, 164430, 242901, 185432, 470361, 470362, 164316, 620765, 570461, 361311, 500575, 570463, 164334, 70513, 114680, 164089, 163835]","[496646, 566408, 24590, 575118, 163605, 361751, 480799, 43303, 388522, 164272, 746419, 554294, 470337, 301634, 185798, 470361, 164316, 570461, 361311, 570463, 500575, 164334, 70513, 361723]"
6413,[],[],[],[],"[181377, 45891, 39940, 26630, 110214, 46056, 150248, 244458, 193803, 26605, 161933, 5710, 160955, 33330, 182228, 186837, 40662, 158841, 118843, 37215]","[181377, 39940, 26630, 110214, 193803, 102290, 279728, 118843, 102719, 5710, 182228, 186837, 40662, 26586, 112477, 37215, 186847, 496356, 287334, 46056, 244458, 26605, 159342, 158841, 215418, 26491]","[352003, 209413, 102290, 26538, 69803, 207021, 279728, 278838, 102719, 5710, 182228, 186837, 26586, 112477, 243421, 37215, 186847, 496356, 46056, 150248, 244458, 181866, 26605, 159342, 158841, 26491]","[352003, 209413, 553477, 553479, 467485, 562849, 26538, 69803, 207021, 278838, 102719, 302911, 207045, 41165, 26586, 112477, 243421, 37215, 680032, 243425, 243937, 496356, 46056, 244458, 586474, 352365, 495222, 26491]","[680032, 243425, 562849, 243937, 553477, 37215, 553479, 46056, 26538, 586474, 41165, 352365, 278838, 495222, 188089, 26586, 467485, 102719]"
6421,[],"[19393, 102626, 11876, 181189, 181190, 150024, 181352, 97512, 11851, 181356, 40968, 164270, 25906, 22131, 150038, 110331, 41727]","[19393, 101091, 11876, 181352, 181192, 11851, 181356, 181357, 164270, 26092, 25906, 11827, 45244, 43006, 41727]",[],[],[],[],[],[]
6433,[],[],[],[],[],"[422273, 150242, 21765, 212166, 179242, 179179, 352023, 17259, 150589, 279861, 110135, 150745, 193178, 215005]","[422273, 21765, 115723, 243473, 38805, 352023, 193178, 179242, 110135, 150589, 298449, 150745, 243548, 215005, 150240, 262753, 243429, 422117, 17259, 352365, 293360, 231674]","[262753, 422273, 243429, 422117, 5063, 179242, 17259, 352023, 115723, 45839, 193178, 243473, 110135, 150745, 231674, 150589, 26686]",[]
6493,[],"[8837, 42259, 42522, 42287, 39984, 39492, 66888, 25802, 41418, 66895, 41424, 22103, 35417, 30939, 92507, 42466, 11747, 74468, 114792, 22382, 95226, 39420, 41726]","[8837, 207240, 197514, 34319, 42259, 42522, 42287, 91695, 30138, 39492, 25802, 41418, 66895, 41424, 127189, 35417, 30939, 92507, 39646, 39266, 11747, 74468, 114792, 39272, 22382, 95226, 39420]","[39266, 11747, 74468, 8837, 25802, 41418, 22382, 34319, 66895, 39633, 41424, 42259, 42522, 30138, 127189, 91695, 35417, 95226, 92507, 39420]",[],[],[],[],[]
6547,[],[],[],[],[],[],"[101091, 207523, 31302, 281864, 148974, 40942, 164147, 186675, 167285, 97496, 163897, 150267, 102716, 45245, 173630]","[101091, 207523, 33027, 31302, 358713, 281864, 213885, 40942, 22128, 164147, 186675, 22421, 150038, 167285, 97496, 163897, 150267, 102716, 45245]",[]
6601,[],[],[],[],[],[],[],[],[]
6631,[],[],[],[],[],[],"[179236, 466884, 422121, 171786, 518346, 357230, 180784, 467056, 110106, 165525, 169750, 303929, 37208, 163161, 303994]","[37185, 179236, 466884, 45815, 467056, 201745, 425457, 110106, 143923, 165525, 303929, 163161, 303994, 303999]",[]
7730,[],[],[],"[42116, 207238, 137223, 33424, 25879, 112934, 67371, 38971, 92094, 7621, 7627, 140497, 33107, 199253, 66905, 274781, 38626, 33637, 114021, 41708, 124144, 150271]","[42116, 207238, 137223, 38539, 33424, 120082, 25879, 245161, 67371, 143790, 306735, 38971, 7621, 32587, 7627, 140497, 66905, 274781, 35680, 38626, 114018, 33637, 94313, 41708, 124144, 150271]","[25859, 42116, 207238, 137223, 41100, 300045, 33424, 120082, 255251, 210453, 25879, 245161, 67371, 26029, 143790, 306735, 447417, 166585, 41669, 7621, 32587, 179404, 441166, 196176, 140497, 94678, 66905, 274781, 35680, 167648, 114018, 462945, 94313, 147959, 92024, 200317]","[167648, 462945, 25859, 170660, 41669, 40701, 300045, 143790, 181198, 306735, 140497, 120082, 255251, 196176, 147959, 92024, 66905, 447417, 25661]",[],[]
7788,[],[],[],[],[],"[110145, 189957, 189958, 45831, 170441, 45898, 179115, 45835, 215369, 169294, 422127, 142992, 147601, 110128, 46203, 161014, 351897, 99323]","[179201, 189957, 189958, 148487, 45831, 99323, 249225, 45835, 299021, 147601, 304668, 128802, 171046, 179115, 45996, 110128, 110145, 170441, 45898, 215369, 25551, 161014, 484858, 46203]","[179201, 189957, 189958, 45831, 148487, 585351, 99323, 299021, 661902, 179218, 520341, 304668, 486819, 180784, 37684, 170441, 680905, 25551, 560853, 266841, 150248, 179179, 690290, 161014, 46203]","[179201, 189958, 148487, 99323, 213005, 661902, 179218, 45461, 304668, 180784, 110135, 110145, 104003, 680905, 25551, 560853, 489959, 150248, 179179, 161014, 158841, 46203]"
7794,[],[],[],[],"[317408, 32578, 166019, 254308, 166917, 46243, 42693, 165608, 277384, 46244, 94019, 179769, 93332, 140951, 33433, 95227, 41886]","[166019, 166917, 277384, 33812, 93332, 30742, 26263, 33433, 41122, 46243, 46244, 31014, 176299, 71605, 26045, 277439, 32578, 94019, 42693, 196805, 31314, 26328, 33122, 254308, 26216, 165608, 26351, 287224, 37242]","[166019, 166917, 40197, 33418, 435960, 33812, 93332, 30742, 131991, 307226, 41122, 46243, 46244, 31014, 51371, 156716, 409003, 11316, 42693, 213319, 192711, 564856, 31314, 407765, 434265, 317408, 155623, 26216, 38253, 26351, 210164, 287224, 37242]","[40197, 26118, 664587, 79246, 33812, 131991, 41122, 46243, 46244, 31014, 409003, 156716, 194479, 11316, 40758, 179517, 277439, 42693, 192711, 407765, 602211, 155623, 26216, 352888, 38253, 25329, 564856]","[40197, 26118, 664587, 143757, 33812, 131991, 46243, 46244, 156716, 194479, 11316, 40758, 602555, 42693, 192711, 564856, 407765, 602211, 277348, 26216, 352888]"
7819,"[26176, 11329, 46338, 18913, 26275, 93317, 46342, 46343, 46345, 26412, 18636, 26191, 31728, 35410, 5202, 26420, 46261, 11321, 11324, 11327]","[26176, 18913, 46338, 26275, 166917, 46342, 46343, 46345, 26412, 18636, 26191, 35410, 26420, 46261, 11321, 11324, 11327]","[26176, 46338, 26275, 16292, 166917, 26149, 213799, 46342, 46662, 179845, 161291, 18636, 179791, 179792, 26420, 111194, 11324]","[46338, 289155, 166917, 46342, 179845, 279173, 161291, 46241, 157859, 26275, 26149, 213799, 26420, 246330, 11324, 11327, 26176, 279873, 46662, 18636, 26191, 35407, 179791, 179792, 111193, 191583, 40679, 169204]","[26176, 46241, 46338, 26275, 279873, 289155, 46342, 40679, 46662, 279173, 26191, 35407, 169204, 26420, 11324, 46430, 191583]",[],"[109280, 210466, 289155, 319300, 40676, 46757, 26279, 35559, 46726, 354472, 33451, 468931, 210126, 352943, 103714, 26167, 163160, 128666, 11324, 277439]","[289155, 279172, 46342, 46726, 103691, 128666, 671644, 103714, 145061, 46757, 33451, 352943, 354485, 26167, 11324, 210126, 215766, 163160, 208984, 109280, 183530, 303345]","[46342, 46726, 264085, 128666, 671644, 45473, 103714, 145061, 46757, 33451, 352943, 354485, 26167, 11324, 210126, 215766, 208984, 94307, 248169, 183530, 303345]"
7841,[],"[150080, 150081, 150082, 22982, 118441, 40841, 150091, 150313, 112397, 43307, 164367, 164212, 11349, 29590, 11860, 11861, 11865, 150077, 43294, 43295]","[181376, 40841, 156556, 112397, 172172, 164367, 29585, 150038, 43294, 43295, 32039, 150313, 37417, 43307, 19372, 150082, 150083, 22982, 25929, 150091, 11860, 11349, 11759, 22514, 22130, 40951, 181372]","[112397, 29585, 150038, 280348, 43294, 43295, 264739, 32039, 43303, 43307, 19372, 268284, 164270, 150322, 245438, 150083, 242887, 25927, 150091, 11860, 11349, 11759, 22514, 164212, 42357, 40951, 40186, 181372]","[112397, 135310, 181372, 29585, 150038, 280348, 280350, 264739, 244774, 43307, 164270, 150322, 361778, 41016, 150082, 150083, 242887, 25927, 150091, 11860, 11349, 363364, 319975, 128360, 164212, 40955, 268284]","[112397, 135310, 159373, 477205, 150038, 280350, 264739, 181548, 150322, 361778, 41016, 403003, 150082, 150083, 88521, 242889, 150091, 361307, 363364, 363365, 177126, 319975, 128360, 40951, 40955]","[180236, 304019, 477205, 150038, 574872, 281628, 280350, 79775, 244774, 181548, 150322, 361778, 19515, 403003, 245438, 150082, 150083, 72900, 570437, 561219, 88521, 11849, 242889, 361307, 209507, 363364, 319975, 97512, 128360, 40951, 40955, 40959]","[41349, 180236, 135310, 574872, 470301, 280350, 79775, 181548, 266546, 150322, 361778, 403003, 19515, 163901, 150082, 150083, 570437, 11849, 242889, 534473, 361307, 363364, 319975, 40951, 40955]","[470301, 280350, 79775, 114724, 181548, 150322, 184114, 163893, 19515, 102716, 163901, 150082, 150083, 500932, 11849, 242889, 534473, 128360, 395114, 164212, 40958, 40955, 443518]"
7842,[],[],[],[],"[19264, 132898, 211780, 96838, 202215, 173630, 150025, 25930, 211816, 26092, 211821, 174062, 98383, 127888, 128083, 40182, 362711, 163994, 154267, 95230]","[45316, 150025, 127888, 163994, 154267, 204212, 173630, 19264, 211780, 25930, 98383, 128083, 362711, 203739, 164323, 211821, 45294, 40182, 252283, 164221, 95230]","[45316, 150025, 127888, 362261, 154267, 120221, 171935, 470305, 164395, 204212, 149949, 211780, 37580, 98383, 128083, 203739, 470370, 164323, 33000, 421995, 301804, 45294, 252283, 164221]","[45316, 127888, 470416, 362261, 154267, 120221, 171935, 13345, 470305, 185636, 164395, 305712, 204212, 323380, 149949, 280510, 570434, 37580, 98383, 128083, 362711, 172888, 469216, 470370, 164323, 267383, 268283, 164221]","[717248, 13345, 470305, 570434, 45316, 185636, 528347, 268283, 195500, 127888, 150769, 450003, 323380, 362261, 362711, 481656, 267383, 154267, 164221, 280510]"
7844,[],"[97508, 112424, 97484, 28461, 97486, 11759, 25998, 97488, 38607, 97363, 30580, 97493, 149845, 30577, 18549, 11897, 42463]","[45241, 79013, 112424, 97484, 28461, 19309, 25998, 38607, 46386, 97363, 30580, 97493, 149845, 18549, 209556, 11897, 148955, 178461, 42463]","[40960, 24590, 25998, 178461, 118049, 28461, 46386, 19512, 45241, 11833, 56895, 183491, 179407, 38607, 97363, 148955, 203739, 19309, 22128, 214899, 30580, 18549, 32504]","[40960, 25998, 139922, 25108, 178461, 164001, 118049, 120621, 46386, 45241, 38719, 56895, 242879, 183491, 38607, 306128, 179407, 97363, 148955, 164333, 40946, 214899, 30580, 114680, 30585, 164091]","[277767, 193927, 164238, 139922, 178461, 118049, 245412, 121639, 120621, 150066, 185918, 242879, 242882, 183491, 97484, 358221, 242894, 38607, 179407, 212695, 375783, 361320, 164333, 40946, 214899, 40180, 164091]","[529285, 164238, 178461, 106013, 361763, 245412, 361768, 120621, 150320, 150066, 242872, 242879, 38719, 242882, 183491, 97484, 242894, 568911, 120148, 281558, 212695, 181211, 375782, 375783, 361320, 94313, 164333, 40946, 40180, 164091, 163838]","[164229, 529285, 361736, 576912, 473873, 474131, 106013, 571296, 571298, 361763, 245412, 361768, 120621, 150066, 668725, 242872, 96838, 522750, 97484, 568911, 212695, 181211, 397019, 356960, 375782, 375783, 361320, 421995, 375790, 40180, 535800, 163838, 164479]","[361736, 474131, 106013, 571296, 571298, 361763, 361768, 116907, 321587, 668725, 242872, 96838, 488140, 568911, 281679, 396757, 397019, 375783, 489710, 395510, 522750]"
7869,[],[],[],[],[],[],"[309537, 183521, 75331, 244136, 175305, 179404, 178574, 29904, 522576, 202610, 143795, 213714, 37845, 246422, 37434, 425595, 280638]","[599425, 38148, 518664, 178574, 210065, 193937, 246422, 38559, 309537, 244136, 170667, 184114, 143795, 213812, 474680, 175305, 179404, 29904, 522576, 213714, 128360, 301809, 202610, 425595]",[]
7878,[],[],[],"[2752, 150754, 24099, 101419, 40139, 43375, 33840, 213809, 74736, 29904, 151058, 213812, 213912, 282713, 37470]","[163843, 161291, 151058, 213912, 38044, 24099, 4902, 101419, 49836, 129326, 33840, 25521, 213809, 213812, 213823, 2752, 40004, 40139, 29904, 179795, 177496, 282713, 37470, 150754, 75239, 43375, 74736, 110331]","[161291, 301456, 151058, 213912, 474658, 4902, 101419, 25521, 213809, 213812, 200630, 2752, 40004, 49866, 40139, 179795, 282713, 103139, 75239, 261609, 43375, 74736, 38136, 238841, 110331]","[161291, 301456, 213649, 254241, 213809, 25521, 2752, 369859, 37446, 46407, 49866, 293074, 534484, 101590, 282713, 148827, 103139, 261609, 13033, 80492, 43372, 74736, 183158, 110331, 289278, 265727]","[161291, 301456, 104986, 108572, 489245, 477604, 102572, 320686, 213809, 477493, 2752, 46407, 49866, 213711, 317775, 534484, 256727, 282713, 148827, 291425, 495841, 261609, 533227, 80492, 43372, 74736, 2805, 239350, 183158, 40957]","[161291, 104986, 108572, 489245, 170667, 320686, 477493, 150080, 2752, 30914, 213702, 46407, 41294, 213711, 174030, 534484, 282713, 495841, 261609, 533227, 80492, 2805, 239350, 352887]"
7896,[],[],[],[],[],[],[],"[114212, 186948, 198500, 41415, 140490, 93229, 282287, 8881, 491221, 41975, 393337, 8893, 173534]","[406283, 429986, 114212, 408104, 282287, 8881, 340790, 614454, 8893, 186948, 150084, 41415, 140490, 613972, 491221, 330458, 173534, 178142, 39646, 198500, 41975, 393337]"
7943,[],[],[],[],[],"[39299, 166595, 27685, 96645, 364520, 70440, 74028, 215725, 39696, 74034, 96532, 32597, 293205, 231093, 150395, 74044, 399549, 79262]","[32769, 96645, 27657, 41869, 39696, 96532, 41497, 199833, 79262, 27685, 74028, 215725, 74034, 39222, 399549, 73024, 166595, 414788, 41542, 178120, 182606, 32597, 293205, 112476, 189283, 364520, 150395]","[32769, 39170, 27657, 39696, 540307, 96532, 183059, 41497, 79262, 27685, 74028, 215725, 74034, 415539, 231093, 39222, 73024, 414788, 41542, 178120, 293205, 112476, 317156, 364520, 620523, 161662, 195199]","[32769, 39170, 540307, 96532, 183059, 41497, 27685, 282278, 215725, 74034, 415539, 231093, 39222, 73024, 265924, 178120, 293205, 112476, 317156, 364520, 195199]"
7947,[],[],[],[],[],[],[],[],[]
7955,[],"[25860, 34066, 176302, 116788, 92095, 94017, 7627, 25804, 113231, 113232, 26065, 66902, 115160, 132829, 25952, 38626, 67306, 67311, 139634, 139637, 101503]","[25860, 67333, 25863, 42122, 197515, 120082, 176301, 176302, 116788, 92095, 94017, 7627, 25804, 26065, 173011, 66902, 189918, 25952, 38626, 24423, 67311, 95217, 139634, 42232, 41726, 101503]","[165889, 26498, 67333, 25863, 197515, 120082, 170775, 176302, 92095, 19403, 113231, 26065, 173011, 18644, 66902, 189918, 274786, 95217, 139634, 194034, 42232, 25852, 101503]",[],[],[],[],[]
7992,[],[],[],[],[],[],[],[],[]
8019,[],[],[],[],[],[],"[72256, 242306, 179071, 40454, 69223, 13515, 13483, 93261, 13549, 13327, 12307, 117556, 206901, 69238, 94260, 178584, 40159]","[178689, 242306, 40454, 13327, 12307, 178584, 13483, 117556, 94260, 446525, 92223, 80194, 154950, 281158, 13515, 93261, 114270, 69223, 10474, 13549, 490868, 275573, 69238, 69111, 179071]","[210721, 309890, 178689, 69111, 309892, 281158, 69223, 116872, 13515, 41582, 117556, 94260, 69238, 275573, 178584, 277466, 258206]"
8020,[],[],[],[],[],"[30976, 68740, 73357, 69009, 13334, 212377, 93850, 69533, 13349, 174630, 31019, 178732, 80184, 47553, 206662, 115143, 107848, 254289, 68962, 68839, 9449, 69616, 34037, 69238, 107001]","[30976, 69009, 13334, 93850, 69533, 13349, 72613, 31019, 95533, 10933, 80184, 167609, 47553, 206668, 254289, 314966, 231638, 68962, 68835, 9449, 69616, 107001, 433662]","[30976, 69382, 13454, 69009, 13334, 69533, 147616, 72613, 10933, 47553, 206662, 115143, 13383, 72393, 656342, 68962, 68835, 68839, 9449, 186090, 98027, 69616, 361712, 107001, 433662]","[30976, 36641, 68962, 68835, 72613, 206662, 115143, 68839, 9449, 69382, 98027, 138155, 299021, 35901, 13334, 69533, 433662, 573663]"
8021,[],[],[],[],[],"[114817, 43138, 264578, 239253, 72479, 163618, 25255, 95533, 208814, 10933, 197560, 182075, 98242, 196185, 182107, 208743, 68840, 98027, 69485, 467316, 46454]","[43138, 163618, 68802, 182107, 25255, 164135, 68839, 68840, 98027, 69485, 208814, 12405, 46454, 49269, 196185, 182075, 114270, 72479]","[545056, 163618, 68802, 543298, 545060, 118822, 68762, 25255, 69818, 116874, 69485, 232143, 206641, 467316, 239253, 197560, 69018, 72479]","[545056, 163618, 68802, 543298, 545060, 118822, 25255, 68762, 116874, 69485, 287341, 232143, 239253, 197560, 69018, 208315, 72479]"
8023,[],[],[],[],[],"[238529, 118822, 69382, 173993, 505035, 33804, 69229, 275726, 252972, 116885, 20118, 429880, 309052, 69214]","[238529, 208388, 357348, 69382, 118822, 173993, 33804, 69229, 69101, 275726, 252972, 362254, 69554, 106641, 558380, 116885, 20118, 429880, 69214, 186463]","[208388, 579207, 309900, 275726, 362254, 116885, 20118, 638101, 173993, 558380, 208814, 69554, 429880, 463806, 238529, 14658, 645704, 505035, 69214, 186463, 206822, 69101, 69229, 89846]","[277313, 14658, 208388, 206822, 645704, 173993, 309900, 69101, 275726, 208814, 362254, 638101, 20118, 23930, 463806, 186463]"
8024,[],[],[],[],[],"[13473, 128230, 363334, 168232, 278153, 306631, 69227, 131980, 169520, 315793, 310192, 173913, 444186]","[263712, 210789, 363334, 128230, 463529, 69227, 69261, 13486, 310192, 315793, 73299, 281844]",[],[]
